Word,Beta
depression,2.46554
parry,3.22511
romberg,3.22511
parenchymal,3.22511
calcifications,3.22511
lead,2.70795
remote,3.01819
unpolluted,3.01819
rural,3.01819
area,3.01819
south,3.01819
africa,3.01819
whole,2.70795
14,3.01819
16,3.01819
year,3.01819
olds,3.01819
wupperthal,3.01819
north,3.01819
western,3.01819
cape,3.01819
province,3.01819
graphite,3.01819
furnace,3.01819
atomic,3.01819
absorption,3.01819
spectrometry,3.01819
used,3.01819
analyse,3.01819
mean,2.70795
level,2.70795
3,3.01819
4,3.01819
micrograms,3.01819
dl,3.01819
value,3.01819
also,3.01819
considered,3.01819
representative,3.01819
natural,3.01819
background,3.01819
africans,3.01819
ankle,1.89527
broad,2.70795
spectral,2.70795
parameters,2.70795
correlated,3.01819
iq,2.70795
measurements,3.01819
relationship,3.01819
measured,3.01819
wais,3.01819
all,3.01819
subscales,3.01819
studied,3.01819
40,3.01819
handed,2.70795
male,2.70795
volunteers,3.01819
ranging,3.01819
age,3.01819
20,3.01819
25,3.01819
years,3.01819
old,3.01819
eegs,3.01819
recorded,3.01819
derivations,3.01819
during,2.70795
rest,3.01819
eyes,3.01819
opened,3.01819
results,3.01819
obtained,3.01819
reveal,3.01819
positive,3.01819
negative,3.01819
correlations,3.01819
abundant,3.01819
participation,2.70795
bands,3.01819
frequency,3.01819
show,3.01819
shift,2.46717
very,3.01819
narrow,3.01819
range,3.01819
suggesting,3.01819
more,3.01819
relations,3.01819
could,3.01819
highlight,3.01819
need,3.01819
psychological,2.70795
tests,3.01819
measure,3.01819
homogeneous,3.01819
abilities,3.01819
finer,3.01819
technique,3.01819
clearly,3.01819
explainable,3.01819
demonstrate,3.01819
recordings,3.01819
reflect,3.01819
intellectual,3.01819
postanoxic,1.87949
myoclonus,1.87949
cardiorespiratory,1.80883
arrest,1.80883
myoclonic,2.45215
jerks,2.45215
central,2.70255
auditory,2.23922
processing,2.23922
disorder,2.23922
apd,2.23922
speech,2.48919
recognition,2.48919
haemostatic,1.99502
hepatosplenic,3.22511
schistosomiasis,3.22511
immuno,2.48919
regulatory,2.48919
bleeding,2.70795
ruptured,2.17588
esophageal,1.75116
varices,1.75116
haematomesis,2.05158
dic,2.57003
mansoni,2.83112
infections,2.48919
tumours,2.01123
pleura,2.14985
mesothelioma,3.22511
squamous,3.22511
epidermoid,3.22511
empyema,1.99075
pleurocutaneous,1.98775
fistula,2.05158
extrapleural,2.02253
pneumothorax,1.74064
far,3.22511
somatosensory,3.22511
evoked,2.46717
potentials,3.22511
stimulation,3.22511
tibial,3.22511
subjects,3.22511
scalp,3.22511
sep,3.22511
use,3.22511
three,3.22511
major,3.22511
peaks,3.22511
p17,3.22511
p24,3.22511
p31,3.22511
additional,3.22511
inconsistent,3.22511
components,3.22511
p11,3.22511
p21,3.22511
p27,3.22511
presumable,3.22511
generator,3.22511
sources,3.22511
popliteal,3.22511
entry,3.22511
sacral,3.22511
plexus,3.22511
cauda,3.22511
equina,3.22511
conus,3.22511
medullaris,3.22511
rostral,3.22511
spinal,3.22511
cord,3.22511
brainstem,2.01131
lymphogranuloma,3.22511
venereum,3.22511
abnormal,2.32564
tonsil,1.97628
stage,2.00484
iiib,2.00484
prostate,2.03963
lower,2.09689
lobe,2.09689
mass,2.09689
thyroid,3.22511
gland,3.22511
supraclavicular,3.22511
adenocarcinoma,2.17588
myeloid,3.22511
leukaemia,3.22511
essential,2.82172
thrombocythemia,2.16988
polycythemia,3.22511
multiple,3.22511
myelomatosis,3.22511
hairy,3.22511
mild,2.83659
traumatic,2.16988
brain,2.16988
injury,2.16988
mtbi,2.83659
hereditary,3.22511
persistence,3.22511
fetal,3.22511
hemoglobin,3.22511
hpfh,3.22511
british,2.83659
breast,2.17588
cancers,2.23922
tuberculomata,1.87949
liver,2.09409
lesion,1.97319
calcific,1.98775
perinatal,2.14565
arterial,1.87949
placental,2.16988
chorioangioma,2.16988
vascular,2.14565
chorioangiomas,2.16988
premature,2.00696
labor,2.00696
abruption,1.74067
polyhydramnios,1.74067
hydrops,1.74067
growth,2.70795
restriction,2.70795
hepatosplenomegaly,1.74067
cardiomegaly,1.80967
congestive,2.03888
fetalis,1.75876
microangiopathic,1.87949
hemolytic,1.87949
anemia,1.87949
thrombocytopenia,2.70795
stroke,2.23922
asphyxia,1.80967
preeclampsia,1.75471
chorioamnionitis,1.74067
infection,1.99502
thrombophilias,1.80903
physical,2.15045
mental,2.48919
disturbances,2.48919
chilliness,2.57118
itching,2.57118
sensation,2.57118
numbness,2.70795
soreness,2.33513
bloatedness,3.22511
tenseness,2.82172
pseudohallucination,2.15656
qigong,2.48919
deviation,2.48919
antiproliferative,3.22511
effects,2.05158
homogenates,3.22511
five,3.22511
candidate,3.22511
probiotic,3.22511
unheated,3.22511
heat,3.22511
treated,3.22511
separately,3.22511
lactobacillus,3.22511
rhamnosus,3.22511
gg,3.22511
bifidobacterium,3.22511
lactis,3.22511
acidophilus,3.22511
delbrueckii,3.22511
subsp,3.22511
bulgaricus,3.22511
streptococcus,3.22511
thermophilus,3.22511
compared,3.22511
phytohemagglutinin,3.22511
induced,3.22511
proliferation,3.22511
mononuclear,3.22511
cells,2.84408
control,3.22511
no,2.84408
homogenate,3.22511
assessing,3.22511
thymidine,3.22511
incorporation,3.22511
cultures,3.22511
suppressed,3.22511
whether,3.22511
enzymatic,3.22511
inactivated,2.03888
not,2.84408
heating,3.22511
assays,3.22511
repeated,3.22511
cytoplasmic,3.22511
wall,3.22511
extracts,3.22511
extract,3.22511
suppressive,3.22511
indicate,3.22511
possess,3.22511
stable,3.22511
component,3.22511
may,3.22511
generate,3.22511
microbiologically,3.22511
nonviable,3.22511
yet,3.22511
immunologically,3.22511
active,3.22511
food,3.22511
products,3.22511
easier,3.22511
store,3.22511
longer,3.22511
shelf,3.22511
life,3.22511
focal,1.99702
neurological,1.80967
deficit,1.97628
sarcoidosis,2.23922
episodic,2.83659
fluent,2.83659
dysphasia,1.80967
seizure,1.75627
neurosarcoidosis,2.23922
ischaemic,1.80903
fatigue,2.01792
insulinoma,1.75876
tlr4,2.48837
urethral,2.16988
strictures,2.16988
ms,3.22511
aorto,2.83112
transurethral,2.50446
resection,2.50446
hygiene,2.50532
colonisation,2.50532
candida,2.50532
species,2.50532
calcified,2.37522
iatrogenic,2.58398
sinus,2.18167
venosus,2.18167
although,2.69316
ligamentous,2.02048
joint,2.46076
represent,2.69316
common,2.69316
orthopaedic,1.98066
problem,2.69316
damage,2.09829
supporting,2.83112
structures,2.83112
relatively,2.69316
rare,2.69316
occurrence,2.69316
medial,2.50532
cuniform,2.50446
cuneiform,2.50532
infancy,2.50532
neuromuscular,2.50532
basilar,2.37522
impression,2.37522
hemiparesis,1.98066
infarcts,2.46076
alternating,2.51033
vegetative,2.83112
isthmus,2.12479
vasopressin,2.58224
release,2.58224
progressive,2.58224
intractable,2.50446
complex,2.58224
partial,2.58224
low,2.34647
density,2.50532
areas,2.50532
white,2.50532
matter,2.50532
frontoparietal,2.50532
lobes,2.50532
stimulus,2.16954
sensitive,2.16954
generated,2.18167
tonsillar,2.50532
enlarging,2.58224
bilateral,2.58398
rubra,2.83112
vera,2.83112
benign,2.18167
birth,2.07786
genetic,2.37522
recurrent,2.51794
reversible,2.50446
specific,2.50082
questionnaire,2.50532
patients,2.32918
transplant,2.50532
assess,2.50532
quality,2.50532
recipients,2.50532
list,2.50532
items,2.50532
potential,2.50532
relevance,2.50532
created,2.50532
50,2.50532
rated,2.50532
importance,2.50532
each,2.50532
item,2.50532
combination,2.50532
factor,2.50532
analysis,2.50532
judgment,2.50532
create,2.50532
final,2.50532
consists,2.50532
questions,2.50532
5,2.50532
dimensions,2.50532
symptoms,2.50532
uncertainty,2.50532
fear,2.50532
appearance,2.50532
emotions,2.50532
dimension,2.50532
scored,2.50532
7,2.50532
point,2.50532
likert,2.50532
scale,2.50532
reproducibility,2.50532
it,2.50532
administered,2.50532
high,2.50532
intraclass,2.50532
coefficients,2.50532
between,2.50532
82,2.50532
91,2.50532
scores,2.50532
except,2.50532
improved,2.50532
6,2.50532
months,2.50532
transplantation,2.50532
pretransplantation,2.50532
who,2.50532
well,2.50532
functioning,2.18167
graft,2.50532
creatinine,2.50532
<,2.50532
250,2.50532
mmol,2.50532
those,2.50532
poorly,2.18167
grafts,2.50532
easy,2.50532
administer,2.50532
valid,2.50532
reproducible,2.50532
responsive,2.50532
change,2.50532
rigidity,2.47986
inflamed,2.35335
tissues,2.35335
failing,2.35335
reimplantation,2.49831
ectopic,2.49831
separate,2.49831
unit,2.49831
provided,2.49831
surgical,2.49831
alternative,2.49831
whom,2.49831
ureteroureterostomy,2.49831
double,2.49831
might,2.49831
compromised,2.49831
smaller,2.49831
caliber,2.49831
neglect,2.47986
hip,2.35335
arteriolar,2.48077
resistance,2.48077
hageman,2.48077
generalized,2.48077
coma,2.35335
anomalous,2.62202
retro,2.62202
involving,2.62202
along,2.62202
inferior,2.62202
vena,2.62202
cava,2.62202
color,2.62202
pattern,2.62202
reversal,2.62202
p1,2.62202
wave,2.62202
peak,2.62202
time,2.62202
amplitude,2.62202
hypertensive,2.50082
glaucomatous,2.50082
difference,2.62202
constant,2.62202
wearing,2.62202
raised,2.62202
albumin,2.62202
igg,2.62202
isotypes,2.62202
secretory,2.62202
iga,2.62202
siga,2.62202
isotype,2.62202
innominate,2.62202
absent,2.62202
upper,2.62202
connected,2.62202
clockwise,2.62202
rotation,2.62202
longitudinal,2.62202
axis,2.62202
outflow,2.62202
tract,2.62202
being,2.62202
wrapped,2.62202
anteriorly,2.62202
around,2.62202
displacement,2.62202
atrium,2.62202
diversion,2.62202
caval,2.62202
anatomical,2.62202
acid,2.62202
sphingomyelinase,2.62202
deficient,2.62202
related,2.62202
marrow,2.62202
foot,2.62202
changes,2.50082
function,2.62202
sensibility,2.62202
threshold,2.62202
unilateral,2.38354
split,2.62202
para,2.62202
amino,2.62202
hippurate,2.62202
inulin,2.62202
clearances,2.62202
flow,2.62202
filtration,2.62202
rates,2.62202
preglomerular,2.62202
postglomerular,2.62202
hydrostatic,2.62202
pressure,2.62202
elevated,2.50082
due,2.62202
both,2.62202
kidneys,2.62202
lowered,2.62202
increase,2.62202
hyperfiltration,2.38354
proximal,2.62202
following,2.62202
combined,2.62202
revaccination,2.62202
acellular,2.38354
vaccine,2.62202
vaccines,2.62202
toxoids,2.62202
location,2.62202
distal,2.62202
phalanx,2.62202
thumb,2.62202
large,2.50082
ductal,2.62202
gradient,2.62202
schizophrenic,2.50082
amounts,2.62202
hf,2.62202
antigen,2.50082
reduced,2.62202
under,2.62202
treatment,2.62202
warfarin,2.62202
detected,2.62202
neurocutaneous,2.62202
bursts,2.62202
spike,2.62202
nonreactive,2.62202
alpha,2.62202
electrocerebral,2.62202
silence,2.62202
[,2.38354
diseases,2.62202
enhanced,2.62202
generation,2.62202
thrombin,2.62202
plasmin,2.62202
endemic,2.62202
infected,2.62202
immune,2.62202
responses,2.62202
schistosomes,2.62202
other,2.62202
68ga,2.50082
membrane,2.50082
ga,2.62202
psma,2.62202
uptake,2.62202
increased,2.62202
answered,2.62202
fewer,2.62202
orientation,2.62202
recalled,2.62202
words,2.62202
delayed,2.50082
recall,2.50082
judged,2.62202
sentences,2.62202
min,2.62202
female,2.62202
correctly,2.62202
immediate,2.62202
memory,2.62202
learning,2.62202
giant,2.38354
attenuation,2.38354
rim,2.62202
hypoattenuation,2.62202
contrast,2.62202
obstetric,2.62202
neonatal,2.62202
psychophysiological,2.62202
reactions,2.62202
emg,2.62202
respiratory,2.62202
movement,2.62202
rate,2.62202
temperature,2.62202
finger,2.62202
tip,2.62202
sympathetic,2.62202
stomach,2.62202
intestine,2.62202
metabolism,2.62202
immunity,2.62202
warmness,2.62202
relaxation,2.62202
floating,2.50082
dropping,2.50082
enlargement,2.50082
constriction,2.50082
body,2.50082
image,2.50082
rising,2.50082
sky,2.50082
falling,2.50082
off,2.50082
standing,2.50082
upside,2.50082
down,2.50082
playing,2.62202
swing,2.62202
respiration,2.62202
circulation,2.62202
intrinsic,2.62202
qi,2.62202
electric,2.62202
shock,2.62202
formication,2.50082
dreamland,2.38354
illusions,2.38354
unreality,2.50082
abrupt,2.62202
onset,2.62202
macroscopic,2.62202
granulomatous,2.62202
collection,2.62202
],2.50836
nondeletional,2.50836
gamma,2.50836
198,2.50836
t,2.50836
mutation,2.50836
motor,2.50836
phenomena,2.50836
perceptual,2.50836
transient,2.50836
