Word	P(None)	P(Phenotype)
cord	1.0	0.0
insipidus	1.0	0.0
jejuni	1.0	0.0
dental	1.0	0.0
metastatic	0.991773333333	0.00822666666667
coexisted	1.0	0.0
midbody	1.0	0.0
lentiviral	1.0	0.0
attacks	0.0	1.0
months	1.0	0.0
anomalous	1.0	0.0
o	1.0	0.0
influenzae	0.99997	3e-05
eight	1.0	0.0
nerve	0.807675555556	0.192324444444
raised	0.99994	6e-05
leukemias	1.0	0.0
tetanus	0.99994	6e-05
presence	1.0	0.0
formulae	1.0	0.0
intellectual	1.0	0.0
down	0.95902	0.04098
loin	0.00452	0.99548
reducing	1.0	0.0
malignancies	0.9936025	0.0063975
often	1.0	0.0
existed	1.0	0.0
vaccination	1.0	0.0
]	0.99903	0.00097
support	1.0	0.0
initial	1.0	0.0
clinical	1.0	0.0
fraction	1.0	0.0
resulted	1.0	0.0
was	0.9999925	7.5e-06
metabolism	0.99994	6e-05
questionable	1.0	0.0
head	0.807605	0.192395
form	1.0	0.0
decadienal	1.0	0.0
differences	1.0	0.0
analyse	1.0	0.0
failure	0.59290625	0.40709375
heat	1.0	0.0
incorporation	1.0	0.0
sustained	1.0	0.0
225	1.0	0.0
222	1.0	0.0
renal	0.96591	0.03409
hypoplastic	6e-05	0.99994
responding	1.0	0.0
devices	1.0	0.0
complications	1.0	0.0
150	1.0	0.0
homonymous	0.0	1.0
classic	1.0	0.0
aorto	1.0	0.0
proven	1.0	0.0
evidence	1.0	0.0
acetoin	1.0	0.0
gland	0.5	0.5
floating	0.95902	0.04098
distributions	1.0	0.0
constructed	1.0	0.0
shigella	1.0	0.0
epidemiological	1.0	0.0
no	0.999988	1.2e-05
innervated	1.0	0.0
whereas	1.0	0.0
fitzgerald	0.98769	0.01231
handed	0.99994	6e-05
setting	1.0	0.0
role	1.0	0.0
digital	1.0	0.0
test	1.0	0.0
vegetative	1.0	0.0
vegetativa	1.0	0.0
node	1.0	0.0
picture	1.0	0.0
concurrent	1.0	0.0
cyanosis	0.198023333333	0.801976666667
rising	0.95902	0.04098
scores	1.0	0.0
cleaves	1.0	0.0
died	1.0	0.0
longer	1.0	0.0
together	1.0	0.0
time	0.99998	2e-05
serious	1.0	0.0
urinary	0.991625	0.008375
concept	1.0	0.0
focus	1.0	0.0
mild	1.0	0.0
skin	0.729298333333	0.270701666667
abundant	1.0	0.0
spike	0.99994	6e-05
layers	1.0	0.0
depend	1.0	0.0
disorders	0.999806	0.000194
nineteen	1.0	0.0
technique	1.0	0.0
indolent	1.0	0.0
passage	1.0	0.0
0	1.0	0.0
paramedian	0.00452	0.99548
promoting	1.0	0.0
monocytes	1.0	0.0
postgraduation	1.0	0.0
acidophilus	1.0	0.0
protective	1.0	0.0
md	1.0	0.0
frequencies	1.0	0.0
respiratory	0.99994	6e-05
presented	1.0	0.0
did	1.0	0.0
dic	1.0	0.0
p	1.0	0.0
mucosal	1.0	0.0
eosinophilic	0.15816	0.84184
grafts	1.0	0.0
epidemiology	1.0	0.0
perceptual	0.99903	0.00097
accumulation	1.0	0.0
inconsistent	1.0	0.0
siga	0.99997	3e-05
upper	0.99994	6e-05
unexpected	1.0	0.0
occurrence	1.0	0.0
findings	1.0	0.0
cancellous	1.0	0.0
bacteria	1.0	0.0
spectral	0.99994	6e-05
streptococcus	1.0	0.0
sacral	1.0	0.0
representative	1.0	0.0
distension	1.0	0.0
current	1.0	0.0
international	1.0	0.0
falling	0.95902	0.04098
hairy	1.0	0.0
supporting	0.99994	6e-05
statistically	1.0	0.0
genes	1.0	0.0
water	1.0	0.0
catarrhalis	1.0	0.0
wais	1.0	0.0
along	0.99994	6e-05
polydipsia	0.78934	0.21066
change	1.0	0.0
healthy	1.0	0.0
shift	0.99996	4e-05
studied	1.0	0.0
commonly	1.0	0.0
hydrostatic	0.99994	6e-05
wupperthal	1.0	0.0
simultaneous	1.0	0.0
throughput	1.0	0.0
diagnosed	1.0	0.0
domains	1.0	0.0
resonance	1.0	0.0
studies	1.0	0.0
hydrodissection	1.0	0.0
subscales	1.0	0.0
tasks	1.0	0.0
problematic	1.0	0.0
parenchymal	0.0	1.0
tenseness	0.00888	0.99112
ureters	0.98769	0.01231
islet	1.0	0.0
transplant	1.0	0.0
sympathetic	0.99997	3e-05
positive	1.0	0.0
anatomical	0.99997	3e-05
scenarios	1.0	0.0
territories	1.0	0.0
chilliness	0.37591	0.62409
criteria	1.0	0.0
enriched	1.0	0.0
australian	1.0	0.0
ductus	0.541255	0.458745
visual	0.666626666667	0.333373333333
distractors	1.0	0.0
cases	1.0	0.0
indicates	1.0	0.0
cap	1.0	0.0
modified	1.0	0.0
inflamed	0.99548	0.00452
reviews	1.0	0.0
makino	1.0	0.0
can	1.0	0.0
following	0.999982857143	1.71428571429e-05
making	1.0	0.0
heart	0.850634285714	0.149365714286
neurosarcoidosis	0.99903	0.00097
multifactorial	1.0	0.0
schieber	1.0	0.0
spp	1.0	0.0
medullaris	1.0	0.0
stroke	0.99903	0.00097
performed	1.0	0.0
capsules	1.0	0.0
conversely	1.0	0.0
occur	1.0	0.0
dyspnoea	6e-05	0.99994
septic	1.0	0.0
secretory	0.99997	3e-05
warfarin	0.99994	6e-05
1	1.0	0.0
immune	0.99998	2e-05
cardinal	0.901553333333	0.0984466666667
pins	1.0	0.0
immuno	1.0	0.0
parameter	1.0	0.0
pathway	1.0	0.0
redundance	1.0	0.0
product	1.0	0.0
rigors	1.0	0.0
may	1.0	0.0
fueled	1.0	0.0
cardiac	0.8845175	0.1154825
such	1.0	0.0
misdiagnosed	1.0	0.0
revealed	1.0	0.0
folliculitis	0.578595	0.421405
man	1.0	0.0
natural	1.0	0.0
purification	1.0	0.0
fluent	0.00452	0.99548
branched	1.0	0.0
gamma	1.0	0.0
sm	1.0	0.0
dreamland	0.95902	0.04098
tbilisi	1.0	0.0
exclusive	1.0	0.0
shrna	1.0	0.0
considerations	1.0	0.0
mainly	1.0	0.0
years	1.0	0.0
stability	1.0	0.0
brain	0.99548	0.00452
pseudohallucination	0.95902	0.04098
still	1.0	0.0
blocked	1.0	0.0
group	1.0	0.0
thumb	0.99997	3e-05
how	1.0	0.0
duplex	0.993845	0.006155
reacting	1.0	0.0
lesions	0.047495	0.952505
osteoid	0.99903	0.00097
titers	1.0	0.0
sensitivity	1.0	0.0
schistosomes	0.99994	6e-05
main	1.0	0.0
uptake	0.99994	6e-05
into	1.0	0.0
non	0.851934285714	0.148065714286
neoplasms	0.99903	0.00097
thereby	1.0	0.0
exon	1.0	0.0
cuniform	1.0	0.0
infarcts	0.15816	0.84184
now	1.0	0.0
provision	1.0	0.0
discuss	1.0	0.0
pyrazine	1.0	0.0
possess	1.0	0.0
administer	1.0	0.0
term	1.0	0.0
arteriolar	0.943018	0.056982
coagulation	0.98769	0.01231
femoral	1.0	0.0
veins	0.99997	3e-05
instability	0.98769	0.01231
significantly	1.0	0.0
fistula	0.239693333333	0.760306666667
abnormal	0.26449	0.73551
temporo	1.0	0.0
year	1.0	0.0
phalanx	0.99997	3e-05
medications	1.0	0.0
stenotic	0.869048333333	0.130951666667
factory	1.0	0.0
perineum	1.0	0.0
increase	0.99994	6e-05
contained	1.0	0.0
investigation	1.0	0.0
trauma	0.758546666667	0.241453333333
suggesting	1.0	0.0
correct	1.0	0.0
esophageal	0.00452	0.99548
arthritis	1.0	0.0
pathogenic	1.0	0.0
million	1.0	0.0
electrophoretype	1.0	0.0
possibility	1.0	0.0
diagnostic	1.0	0.0
recordings	1.0	0.0
complicated	1.0	0.0
hpfh	1.0	0.0
training	1.0	0.0
language	1.0	0.0
transition	1.0	0.0
british	1.0	0.0
grifka	1.0	0.0
place	1.0	0.0
massive	1.0	0.0
swing	0.99994	6e-05
neglect	0.99548	0.00452
frequent	1.0	0.0
first	1.0	0.0
dimethyl	1.0	0.0
immunoelectron	1.0	0.0
one	1.0	0.0
psychophysiological	0.99994	6e-05
specifically	1.0	0.0
osteomas	0.99903	0.00097
open	1.0	0.0
calcific	0.09493	0.90507
malrotation	0.95902	0.04098
lens	1.0	0.0
anteriorly	0.99994	6e-05
stimulation	1.0	0.0
indicate	1.0	0.0
2	0.9999975	2.5e-06
adenocarcinoma	0.98769	0.01231
white	0.955123333333	0.0448766666667
structures	0.99994	6e-05
anderluh	1.0	0.0
eyes	1.0	0.0
pleurocutaneous	0.09493	0.90507
subsp	1.0	0.0
that	1.0	0.0
eliminates	1.0	0.0
gastroenteritis	0.99903	0.00097
tuberculomata	0.78934	0.21066
mtbi	1.0	0.0
than	0.99999	1e-05
coefficients	1.0	0.0
11	1.0	0.0
10	1.0	0.0
12	1.0	0.0
15	1.0	0.0
14	1.0	0.0
16	1.0	0.0
19	1.0	0.0
18	1.0	0.0
require	1.0	0.0
kishimoto	1.0	0.0
shunting	0.00888	0.99112
r	1.0	0.0
were	0.999998461538	1.53846153846e-06
and	0.999186181818	0.000813818181818
radioimmunoassays	1.0	0.0
ana	1.0	0.0
remained	1.0	0.0
cardiorespiratory	0.78934	0.21066
innominate	0.99994	6e-05
abnormalities	0.200978	0.799022
saw	1.0	0.0
any	1.0	0.0
conversion	1.0	0.0
efficient	1.0	0.0
papular	0.99903	0.00097
potential	0.9999775	2.25e-05
fracture	1.0	0.0
performance	1.0	0.0
aortotomy	1.0	0.0
28	1.0	0.0
201	1.0	0.0
pain	0.0448966666667	0.955103333333
normal	0.999994	6e-06
beta	1.0	0.0
furfuryl	1.0	0.0
tract	0.99997	3e-05
pair	1.0	0.0
knee	0.9969225	0.0030775
paget	1.0	0.0
inserted	1.0	0.0
probes	1.0	0.0
especially	1.0	0.0
shrnas	1.0	0.0
considered	1.0	0.0
later	1.0	0.0
infections	1.0	0.0
methanol	1.0	0.0
rotaviral	1.0	0.0
peptides	1.0	0.0
trafficking	1.0	0.0
dispersed	1.0	0.0
typically	1.0	0.0
ciliaris	1.0	0.0
obstructive	0.86727	0.13273
oncogenes	1.0	0.0
show	1.0	0.0
synchronous	0.7066	0.2934
fifty	1.0	0.0
fletcher	0.98769	0.01231
threshold	0.999976	2.4e-05
line	1.0	0.0
iq	0.99994	6e-05
transvesical	1.0	0.0
investigators	1.0	0.0
behind	1.0	0.0
only	1.0	0.0
black	1.0	0.0
over	1.0	0.0
absent	0.99998	2e-05
homogenate	1.0	0.0
affecting	1.0	0.0
clavulanate	1.0	0.0
primates	1.0	0.0
is	1.0	0.0
secondary	1.0	0.0
reveal	1.0	0.0
median	0.711523333333	0.288476666667
medial	1.0	0.0
across	1.0	0.0
hypothalamospinal	1.0	0.0
erythromycin	1.0	0.0
gianturco	1.0	0.0
relative	1.0	0.0
vivo	1.0	0.0
eliminating	1.0	0.0
surgery	1.0	0.0
enzymatically	1.0	0.0
inhibitory	1.0	0.0
compounds	1.0	0.0
review	1.0	0.0
circulating	1.0	0.0
vaccines	0.99997	3e-05
3	1.0	0.0
between	1.0	0.0
reproducible	1.0	0.0
dextroversion	0.96925	0.03075
ruptured	0.0	1.0
suppresses	1.0	0.0
originated	1.0	0.0
tur	1.0	0.0
ventroposterolateral	1.0	0.0
haematomesis	0.0	1.0
heterogeneous	1.0	0.0
coma	0.99994	6e-05
article	1.0	0.0
cervical	1.0	0.0
suppressed	1.0	0.0
soreness	0.37591	0.62409
isthmus	0.57908	0.42092
acquiring	1.0	0.0
warmness	0.99994	6e-05
region	1.0	0.0
enabling	1.0	0.0
propagation	1.0	0.0
s	1.0	0.0
hypothesis	1.0	0.0
expression	1.0	0.0
supraclavicular	0.5	0.5
among	1.0	0.0
filtering	1.0	0.0
cancer	0.999861428571	0.000138571428571
color	0.99996	4e-05
epileptic	0.99548	0.00452
period	1.0	0.0
innovations	1.0	0.0
60	1.0	0.0
occluder	1.0	0.0
stretched	1.0	0.0
learning	0.99997	3e-05
zonular	1.0	0.0
constant	0.99994	6e-05
considers	1.0	0.0
amino	0.99994	6e-05
considering	1.0	0.0
unusual	1.0	0.0
wearers	1.0	0.0
aorta	0.56288	0.43712
conceptualization	1.0	0.0
detected	0.99998	2e-05
jerks	0.13463	0.86537
tonsils	1.0	0.0
combined	0.99996	4e-05
500	1.0	0.0
systems	1.0	0.0
direction	1.0	0.0
formed	1.0	0.0
resistance	0.943018	0.056982
external	1.0	0.0
psychotherapy	1.0	0.0
bmy	1.0	0.0
nigricans	0.15816	0.84184
those	1.0	0.0
case	1.0	0.0
resides	1.0	0.0
these	1.0	0.0
acanthosis	0.15816	0.84184
premature	0.09493	0.90507
hypertrophy	0.13463	0.86537
trisulfide	1.0	0.0
pdsred	1.0	0.0
procoagulant	1.0	0.0
orientation	0.99998	2e-05
arteriosus	0.541255	0.458745
sleeping	1.0	0.0
regularity	1.0	0.0
sudden	1.0	0.0
proteolytic	1.0	0.0
spleens	1.0	0.0
protein	1.0	0.0
pericardium	1.0	0.0
creatinine	1.0	0.0
different	1.0	0.0
develop	1.0	0.0
coexisting	1.0	0.0
same	1.0	0.0
fragment	1.0	0.0
speech	1.0	0.0
kidney	0.920238	0.079762
otto	1.0	0.0
physical	0.968368	0.031632
events	1.0	0.0
unpolluted	1.0	0.0
lymphomas	1.0	0.0
sacrum	1.0	0.0
persons	1.0	0.0
diversion	0.99994	6e-05
pleura	0.99778	0.00222
reference	1.0	0.0
hydroxy	1.0	0.0
severe	1.0	0.0
without	0.99778	0.00222
relief	1.0	0.0
components	1.0	0.0
model	1.0	0.0
dimension	1.0	0.0
researchers	1.0	0.0
consisted	1.0	0.0
being	0.99998	2e-05
when	1.0	0.0
rest	1.0	0.0
clot	1.0	0.0
unclear	1.0	0.0
proximal	1.0	0.0
differentiation	1.0	0.0
flavor	1.0	0.0
speed	1.0	0.0
ethyl	1.0	0.0
death	0.918802	0.081198
staging	1.0	0.0
generator	1.0	0.0
seems	1.0	0.0
except	1.0	0.0
delbrueckii	1.0	0.0
improvement	1.0	0.0
wall	1.0	0.0
4	1.0	0.0
samples	1.0	0.0
electrical	0.99997	3e-05
aspects	1.0	0.0
around	0.99997	3e-05
haematuria	0.0	1.0
early	1.0	0.0
microangiopathic	0.78934	0.21066
using	1.0	0.0
sampling	1.0	0.0
lady	1.0	0.0
vanished	1.0	0.0
acute	0.796634	0.203366
ductal	0.99994	6e-05
malignancy	0.99336	0.00664
revaccination	0.99994	6e-05
t	1.0	0.0
neurologic	1.0	0.0
reduced	0.99997	3e-05
scored	1.0	0.0
satisfactory	1.0	0.0
exposed	1.0	0.0
zonula	1.0	0.0
zonule	1.0	0.0
presentation	1.0	0.0
moreover	1.0	0.0
questionnaire	1.0	0.0
intact	1.0	0.0
provided	1.0	0.0
dimensions	1.0	0.0
recorded	1.0	0.0
critical	1.0	0.0
deficit	0.200036	0.799964
transurethral	0.99112	0.00888
moderate	1.0	0.0
cephalosporin	1.0	0.0
bloatedness	0.0	1.0
scientific	1.0	0.0
k562	1.0	0.0
breastfeed	1.0	0.0
anticlockwise	1.0	0.0
ratios	1.0	0.0
fractured	0.62409	0.37591
mmol	1.0	0.0
earlier	1.0	0.0
comparison	1.0	0.0
ol	1.0	0.0
central	0.999861428571	0.000138571428571
enzymatic	1.0	0.0
of	0.991537935103	0.00846206489676
disabilities	0.461985	0.538015
discussed	1.0	0.0
practical	1.0	0.0
betatc3	1.0	0.0
concentrations	1.0	0.0
discusses	1.0	0.0
antibody	1.0	0.0
or	0.982125714286	0.0178742857143
enhancement	1.0	0.0
formication	0.95902	0.04098
pretransplantation	1.0	0.0
aortic	0.9073	0.0927
image	0.95902	0.04098
propanone	1.0	0.0
spinal	1.0	0.0
involvement	1.0	0.0
determine	1.0	0.0
gomez	1.0	0.0
intervention	1.0	0.0
area	0.993868571429	0.00613142857143
there	1.0	0.0
hepatosplenomegaly	0.09493	0.90507
detectable	1.0	0.0
low	0.964878	0.035122
cultures	1.0	0.0
sonographic	0.99994	6e-05
delayed	0.95902	0.04098
principles	1.0	0.0
follicular	0.66604	0.33396
posterior	0.999994545455	5.45454545455e-06
lymph	0.6	0.4
clones	1.0	0.0
mice	1.0	0.0
with	0.9998763	0.0001237
october	1.0	0.0
improved	1.0	0.0
circulation	0.99994	6e-05
equinatoxin	1.0	0.0
